filename,formula,n_atoms,volume_A3,Ef,Eg
mp-1001571.cif,CaFeO3,5,56.473,-2.176371779,0.0
mp-1001793.cif,KCoCl3,10,234.19,-1.42709900945,0.0
mp-1003314.cif,KMn2O4,7,94.533,-1.964762960444581,0.43569999999999903
mp-10036.cif,Ce3AlC,5,124.05,-0.347754207999997,0.0
mp-10037.cif,AlCo3C,5,51.6,-0.20122812149999703,0.0
mp-1003764.cif,K3Mn4O8,60,779.435,-1.955604567398289,0.48749999999999905
mp-10038.cif,Er3AlC,5,149.164,1.445732053000001,0.0
mp-10039.cif,Pr3AlC,5,135.582,-0.23128765722222203,0.0
mp-10040.cif,AlPt3C,5,73.305,0.163335222500012,0.0
mp-10041.cif,Tb3AlC,5,155.21,1.2828235299999982,0.0
mp-1004524.cif,HPbI3,5,243.463,0.03798616875,0.0
mp-10060.cif,DyBPd3,5,80.598,-0.6601321862272751,0.0
mp-10061.cif,ErBPd3,5,79.769,-0.6995721767597041,0.0
mp-10113.cif,ScBIr3,5,70.297,-0.659335980833334,0.0
mp-10120.cif,NdBPd3,5,84.21,-0.557739431333332,0.0
mp-10133.cif,Sc3BPb,5,102.367,-0.613486305500001,0.0
mp-10134.cif,TmBPd3,5,79.349,-0.673166220045456,0.0
mp-10135.cif,YbBPd3,5,77.176,-0.657622925499998,0.0
mp-1013530.cif,Sr3BiP,5,236.47,-0.331061042170227,0.0
mp-1013531.cif,Sr3BiN,5,241.804,0.5227135432500001,0.0
mp-1013532.cif,Sr3AsP,5,194.105,-0.7607700471369071,0.0
mp-1013533.cif,Ba3PN,5,161.943,-0.6362765459285711,0.0
mp-1013534.cif,Sr3SbN,5,240.822,0.45508603700000005,0.0
mp-1013535.cif,Sr3SbP,5,227.054,-0.32151753692857105,0.0
mp-1013536.cif,Sr3PN,5,182.284,0.072935280017262,0.0
mp-1013537.cif,Sr3AsN,5,195.112,0.11122313774999901,0.0
mp-1013540.cif,Ca3PN,5,148.036,-0.045294933345238,0.0
mp-1013541.cif,Sr3SbAs,5,228.099,-0.475638621499999,0.0
mp-1013542.cif,Ca3BiN,5,200.202,0.5483129252499961,0.0
mp-1013543.cif,Ca3AsN,5,158.466,0.039797012750001005,0.0
mp-1013544.cif,Ca3SbAs,5,165.469,-0.9471447835000001,0.400599999999999
mp-1013545.cif,Ca3BiAs,5,169.112,-1.090001270416667,0.0
mp-1013548.cif,Ca3SbN,5,114.804,-1.202770444999998,0.40750000000000003
mp-1013549.cif,Ba3BiN,5,176.758,-0.7924901430000001,0.0
mp-1013550.cif,Ca3SbP,5,155.933,-1.02137064092857,0.6583
mp-1013553.cif,Sr3AsP,5,185.193,-0.962671677136904,0.0
mp-1013554.cif,Sr3PN,5,129.493,-0.95271940134524,0.519699999999999
mp-1013555.cif,Sr3AsN,5,132.313,-1.052059000250003,0.4218
mp-1013557.cif,Ba3SbN,5,173.142,-0.870384568999999,0.0
mp-1013558.cif,Ca3BiP,5,158.997,-1.121780490595242,0.07590000000000001
mp-1013561.cif,Sr3SbAs,5,200.042,-0.9112094495,0.127999999999999
mp-1013562.cif,Ba3SbAs,5,240.385,-0.8547799735,0.148699999999999
mp-1013563.cif,Ba3BiAs,5,243.874,-0.8243075855,0.0
mp-1013564.cif,Sr3BiAs,5,203.297,-1.060178490166669,0.0
mp-1013584.cif,Ba3BiSb,5,279.422,-0.664411328,0.0
mp-1013585.cif,Sr3BiSb,5,234.19,-0.6675142980000001,0.0
mp-1013586.cif,Ba3AsP,5,223.748,-0.6829273324285711,0.0
mp-1013588.cif,Sr3SbP,5,189.119,-0.9584227269285711,0.34189999999999904
mp-1013642.cif,Ca3AsP,5,151.752,-1.126981886678571,0.192699999999999
mp-1013643.cif,Sr3BiP,5,192.775,-1.095449884170227,0.0
mp-1013691.cif,Ba3BiP,5,231.757,-0.8450844469285711,0.0
mp-1013702.cif,Ca3BiP,5,197.137,-0.316380922402939,0.0
mp-1013703.cif,Ca3BiAs,5,199.177,-0.469057760416669,0.0
mp-1013704.cif,Ca3BiSb,5,201.23,-0.48856588200000006,0.0
mp-1013705.cif,Sr3BiAs,5,237.96,-0.490843560166666,0.0
mp-1013706.cif,Sr3BiSb,5,240.278,-0.519670038,0.0
mp-1013707.cif,Ba3PN,5,222.551,0.25730490207142803,0.0
mp-1013708.cif,Ba3SbN,5,277.168,0.47130420500000003,0.0
mp-1013709.cif,Ba3AsN,5,236.788,0.293266061499998,0.0
mp-1013710.cif,Ba3BiN,5,288.805,0.618596262999999,0.0
mp-1013711.cif,Ba3AsP,5,234.541,-0.49995208842857103,0.0
mp-1013712.cif,Ba3SbP,5,272.534,-0.30285898092857,0.0
mp-1013713.cif,Ba3BiP,5,279.883,-0.15086505492857002,0.0
mp-1013714.cif,Ba3SbAs,5,273.733,-0.45942058350000003,0.0
mp-1013716.cif,Ba3BiAs,5,281.491,-0.30899205749999903,0.0
mp-1013719.cif,Ba3BiSb,5,285.719,-0.530236362,0.0
mp-1013733.cif,Ca3BiSb,5,196.123,-0.645725929999999,0.0
